OrderID,OrderDate,CustomerID,ProductID,ProductName,CategoryID,Quantity,UnitPrice,Discount,Revenue
10248,1996-07-04,VINET,11,Queso Cabrales,4,12,14.0,0.0,168.0
10248,1996-07-04,VINET,42,Singaporean Hokkien Fried Mee,5,10,9.8,0.0,98.0
10248,1996-07-04,VINET,72,Mozzarella di Giovanni,4,5,34.8,0.0,174.0
10249,1996-07-05,TOMSP,14,Tofu,7,9,18.6,0.0,167.4
10249,1996-07-05,TOMSP,51,Manjimup Dried Apples,7,40,42.4,0.0,1696.0
10250,1996-07-08,HANAR,41,Jack's New England Clam Chowder,8,10,7.7,0.0,77.0
10250,1996-07-08,HANAR,51,Manjimup Dried Apples,7,35,42.4,0.1500000059604644,1261.399991154671
10250,1996-07-08,HANAR,65,Louisiana Fiery Hot Pepper Sauce,2,15,16.8,0.1500000059604644,214.19999849796298
10251,1996-07-08,VICTE,22,Gustaf's Kn?ckebr?d,5,6,16.8,0.050000000745058,95.75999992489817
10251,1996-07-08,VICTE,57,Ravioli Angelo,5,15,15.6,0.050000000745058,222.29999982565644
10251,1996-07-08,VICTE,65,Louisiana Fiery Hot Pepper Sauce,2,20,16.8,0.0,336.0
10252,1996-07-09,SUPRD,20,Sir Rodney's Marmalade,3,40,64.8,0.050000000745058,2462.39999806881
10252,1996-07-09,SUPRD,33,Geitost,4,25,2.0,0.050000000745058,47.499999962747104
10252,1996-07-09,SUPRD,60,Camembert Pierrot,4,40,27.2,0.0,1088.0
10253,1996-07-10,HANAR,31,Gorgonzola Telino,4,20,10.0,0.0,200.0
10253,1996-07-10,HANAR,39,Chartreuse verte,1,42,14.4,0.0,604.8000000000001
10253,1996-07-10,HANAR,49,Maxilaku,3,40,16.0,0.0,640.0
10254,1996-07-11,CHOPS,24,Guaran? Fant?stica,1,15,3.6,0.1500000059604644,45.899999678134925
10254,1996-07-11,CHOPS,55,P?t? chinois,6,21,19.2,0.1500000059604644,342.71999759674077
10254,1996-07-11,CHOPS,74,Longlife Tofu,7,21,8.0,0.0,168.0
10255,1996-07-12,RICSU,2,Chang,1,20,15.2,0.0,304.0
10255,1996-07-12,RICSU,16,Pavlova,3,35,13.9,0.0,486.5
10255,1996-07-12,RICSU,36,Inlagd Sill,8,25,15.2,0.0,380.0
10255,1996-07-12,RICSU,59,Raclette Courdavault,4,30,44.0,0.0,1320.0
10256,1996-07-15,WELLI,53,Perth Pasties,6,15,26.2,0.0,393.0
10256,1996-07-15,WELLI,77,Original Frankfurter gr?ne So?e,2,12,10.4,0.0,124.80000000000001
10257,1996-07-16,HILAA,27,Schoggi Schokolade,3,25,35.1,0.0,877.5
10257,1996-07-16,HILAA,39,Chartreuse verte,1,6,14.4,0.0,86.4
10257,1996-07-16,HILAA,77,Original Frankfurter gr?ne So?e,2,15,10.4,0.0,156.0
10258,1996-07-17,ERNSH,2,Chang,1,50,15.2,0.2000000029802322,607.9999977350235
10258,1996-07-17,ERNSH,5,Chef Anton's Gumbo Mix,2,65,17.0,0.2000000029802322,883.9999967068434
10258,1996-07-17,ERNSH,32,Mascarpone Fabioli,4,6,25.6,0.2000000029802322,122.87999954223635
10259,1996-07-18,CENTC,21,Sir Rodney's Scones,3,10,8.0,0.0,80.0
10259,1996-07-18,CENTC,37,Gravad lax,8,1,20.8,0.0,20.8
10260,1996-07-19,OTTIK,41,Jack's New England Clam Chowder,8,16,7.7,0.25,92.4
10260,1996-07-19,OTTIK,57,Ravioli Angelo,5,50,15.6,0.0,780.0
10260,1996-07-19,OTTIK,62,Tarte au sucre,3,15,39.4,0.25,443.25
10260,1996-07-19,OTTIK,70,Outback Lager,1,21,12.0,0.25,189.0
10261,1996-07-19,QUEDE,21,Sir Rodney's Scones,3,20,8.0,0.0,160.0
10261,1996-07-19,QUEDE,35,Steeleye Stout,1,20,14.4,0.0,288.0
10262,1996-07-22,RATTC,5,Chef Anton's Gumbo Mix,2,12,17.0,0.2000000029802322,163.19999939203262
10262,1996-07-22,RATTC,7,Uncle Bob's Organic Dried Pears,7,15,24.0,0.0,360.0
10262,1996-07-22,RATTC,56,Gnocchi di nonna Alice,5,2,30.4,0.0,60.8
10263,1996-07-23,ERNSH,16,Pavlova,3,60,13.9,0.25,625.5
10263,1996-07-23,ERNSH,24,Guaran? Fant?stica,1,28,3.6,0.0,100.8
10263,1996-07-23,ERNSH,30,Nord-Ost Matjeshering,8,60,20.7,0.25,931.5
10263,1996-07-23,ERNSH,74,Longlife Tofu,7,36,8.0,0.25,216.0
10264,1996-07-24,FOLKO,2,Chang,1,35,15.2,0.0,532.0
10264,1996-07-24,FOLKO,41,Jack's New England Clam Chowder,8,25,7.7,0.1500000059604644,163.62499885261062
10265,1996-07-25,BLONP,17,Alice Mutton,6,30,31.2,0.0,936.0
